subject,body_text,url_count,has_urgency,label
URGENT: Verify your account activity immediately!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,1,1,1
Client presentation slide deck (Ref: 264),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",0,0,0
System Warning: Update password immediately!,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-amazon-support.net/login",1,1,1
Lunch reservation details (Ref: 640),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Sarah.",0,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",1,1,1
Weekly Project Progress Update (Ref: 708),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
Invoice Notification: Payment outstanding #83940,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,2,1,1
New repository pull request merged (Ref: 157),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, David.",0,0,0
"Congratulations! You won a $1,000 reward voucher",We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,3,1,1
Client presentation slide deck (Ref: 952),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",1,0,0
Invoice Notification: Payment outstanding #83940,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,2,1,1
Feedback on code design patterns (Ref: 506),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Sarah.",0,0,0
"Congratulations! You won a $1,000 reward voucher",You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-paypal-support.net/login,3,0,1
Annual performance evaluation reminder (Ref: 982),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",1,0,0
PayPal Support: Unauthorized funds transfer request,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,2,1,1
Approved: Expense report #3904 (Ref: 107),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",0,0,0
Security Alert: Unauthorized login attempts detected,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,3,0,1
Feedback on code design patterns (Ref: 628),"We successfully deployed the latest security patches to the production clusters. Thanks, John.",0,0,0
"Congratulations! You won a $1,000 reward voucher",We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,2,1,1
Release notes for version 2.4.1 (Ref: 621),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Sarah.",1,0,0
Security Alert: Unauthorized login attempts detected,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-amazon-support.net/login",2,0,1
Release notes for version 2.4.1 (Ref: 810),"Merged PR #405: updates user session cookies validation handlers. Thanks, Alice.",1,0,0
Microsoft Account: Verify security settings now,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,1,1,1
Quarterly financial report summary (Ref: 543),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",1,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,1,0,1
Lunch reservation details (Ref: 522),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",0,0,0
System Warning: Update password immediately!,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",2,1,1
Approved: Expense report #3904 (Ref: 655),"Merged PR #405: updates user session cookies validation handlers. Thanks, David.",0,0,0
Security Alert: Unauthorized login attempts detected,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-amazon-support.net/login,2,1,1
New repository pull request merged (Ref: 274),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
Invoice Notification: Payment outstanding #83940,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,1,1,1
Release notes for version 2.4.1 (Ref: 929),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",0,0,0
Verify your banking details to avoid limitations,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,2,1,1
Approved: Expense report #3904 (Ref: 875),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",1,0,0
Security Alert: Unauthorized login attempts detected,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,2,1,1
Lunch reservation details (Ref: 408),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",3,1,1
Annual performance evaluation reminder (Ref: 644),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",0,0,0
System Warning: Update password immediately!,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-paypal-support.net/login",2,1,1
Lunch reservation details (Ref: 137),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
Security Alert: Unauthorized login attempts detected,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-paypal-support.net/login",3,0,1
Approved: Expense report #3904 (Ref: 223),"Merged PR #405: updates user session cookies validation handlers. Thanks, Alice.",0,0,0
URGENT: Verify your account activity immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",2,1,1
Release notes for version 2.4.1 (Ref: 927),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",1,0,0
Verify your banking details to avoid limitations,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,2,1,1
Feedback on code design patterns (Ref: 207),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",1,0,0
Invoice Notification: Payment outstanding #83940,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-amazon-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 973),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
PayPal Support: Unauthorized funds transfer request,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-chase-support.net/login,1,1,1
Client presentation slide deck (Ref: 881),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Alice.",1,0,0
Verify your banking details to avoid limitations,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-paypal-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 284),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-chase-support.net/login,2,1,1
Quarterly financial report summary (Ref: 114),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",1,0,0
Verify your banking details to avoid limitations,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 801),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",0,0,0
PayPal Support: Unauthorized funds transfer request,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-paypal-support.net/login",1,0,1
Release notes for version 2.4.1 (Ref: 517),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Sarah.",0,0,0
Microsoft Account: Verify security settings now,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",2,1,1
Client presentation slide deck (Ref: 129),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Invoice Notification: Payment outstanding #83940,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-netflix-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 459),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
Update Billing Information: Payment Restrict Alert,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-chase-support.net/login",3,1,1
Weekly Project Progress Update (Ref: 320),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",0,0,0
Verify your banking details to avoid limitations,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,2,1,1
Approved: Expense report #3904 (Ref: 335),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, John.",1,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",1,1,1
Lunch reservation details (Ref: 918),"We successfully deployed the latest security patches to the production clusters. Thanks, John.",1,0,0
"Congratulations! You won a $1,000 reward voucher","Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-chase-support.net/login",3,0,1
New repository pull request merged (Ref: 113),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",1,0,0
System Warning: Update password immediately!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-amazon-support.net/login,1,1,1
Feedback on code design patterns (Ref: 929),"We successfully deployed the latest security patches to the production clusters. Thanks, Alice.",0,0,0
PayPal Support: Unauthorized funds transfer request,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-paypal-support.net/login,2,1,1
Client presentation slide deck (Ref: 392),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",1,0,0
Netflix: Your subscription has been suspended!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,3,1,1
Weekly Project Progress Update (Ref: 649),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Sarah.",0,0,0
Microsoft Account: Verify security settings now,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 309),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Alice.",1,0,0
Security Alert: Unauthorized login attempts detected,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-amazon-support.net/login,2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 849),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, David.",0,0,0
"Congratulations! You won a $1,000 reward voucher","To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",1,0,1
Feedback on code design patterns (Ref: 623),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Alice.",0,0,0
Netflix: Your subscription has been suspended!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-netflix-support.net/login,3,1,1
Quarterly financial report summary (Ref: 769),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Sarah.",1,0,0
Update Billing Information: Payment Restrict Alert,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",1,1,1
Quarterly financial report summary (Ref: 820),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",1,0,0
"Congratulations! You won a $1,000 reward voucher",You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,3,0,1
Quarterly financial report summary (Ref: 176),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, John.",0,0,0
"Congratulations! You won a $1,000 reward voucher","A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-paypal-support.net/login",3,0,1
Release notes for version 2.4.1 (Ref: 678),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",0,0,0
System Warning: Update password immediately!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,1,1,1
Annual performance evaluation reminder (Ref: 700),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",0,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",2,1,1
Annual performance evaluation reminder (Ref: 824),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Alice.",0,0,0
Verify your banking details to avoid limitations,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-netflix-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 368),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-chase-support.net/login",1,1,1
Release notes for version 2.4.1 (Ref: 305),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, John.",0,0,0
Invoice Notification: Payment outstanding #83940,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 100),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
"Congratulations! You won a $1,000 reward voucher",We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-paypal-support.net/login,1,1,1
Lunch reservation details (Ref: 371),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, John.",1,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,3,1,1
Client presentation slide deck (Ref: 217),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Alice.",1,0,0
System Warning: Update password immediately!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-chase-support.net/login,3,1,1
Lunch reservation details (Ref: 708),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Sarah.",0,0,0
Netflix: Your subscription has been suspended!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-netflix-support.net/login,3,1,1
Annual performance evaluation reminder (Ref: 325),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",0,0,0
"Congratulations! You won a $1,000 reward voucher",We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 602),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Sarah.",0,0,0
URGENT: Verify your account activity immediately!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-netflix-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 346),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, Sarah.",1,0,0
Update Billing Information: Payment Restrict Alert,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-chase-support.net/login",3,1,1
Feedback on code design patterns (Ref: 133),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",1,0,0
Security Alert: Unauthorized login attempts detected,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-chase-support.net/login,2,0,1
Annual performance evaluation reminder (Ref: 484),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,2,1,1
Client presentation slide deck (Ref: 528),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",1,0,0
Verify your banking details to avoid limitations,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",3,1,1
Feedback on code design patterns (Ref: 786),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",1,0,0
Verify your banking details to avoid limitations,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,2,1,1
Lunch reservation details (Ref: 686),"Attached are the slides for the client presentation. Please review them before the call. Thanks, John.",0,0,0
Microsoft Account: Verify security settings now,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Lunch reservation details (Ref: 131),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, John.",1,0,0
Verify your banking details to avoid limitations,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",1,1,1
Weekly Project Progress Update (Ref: 846),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Alice.",1,0,0
PayPal Support: Unauthorized funds transfer request,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,1,0,1
Weekly Project Progress Update (Ref: 615),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",1,0,0
Verify your banking details to avoid limitations,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,3,1,1
Feedback on code design patterns (Ref: 906),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",0,0,0
Microsoft Account: Verify security settings now,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-chase-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 186),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",0,0,0
Invoice Notification: Payment outstanding #83940,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-paypal-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 971),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, Sarah.",0,0,0
Security Alert: Unauthorized login attempts detected,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-paypal-support.net/login,2,0,1
Client presentation slide deck (Ref: 141),"Your request for business travel expenses has been reviewed and approved by management. Thanks, David.",0,0,0
Microsoft Account: Verify security settings now,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-amazon-support.net/login,2,1,1
Client presentation slide deck (Ref: 187),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",1,0,0
Security Alert: Unauthorized login attempts detected,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,1,1,1
Annual performance evaluation reminder (Ref: 477),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",1,0,0
System Warning: Update password immediately!,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,1,1,1
Feedback on code design patterns (Ref: 998),"Attached are the slides for the client presentation. Please review them before the call. Thanks, John.",0,0,0
Netflix: Your subscription has been suspended!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 401),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",1,0,0
System Warning: Update password immediately!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",1,1,1
Approved: Expense report #3904 (Ref: 710),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-paypal-support.net/login",2,1,1
Annual performance evaluation reminder (Ref: 160),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, David.",1,0,0
URGENT: Verify your account activity immediately!,Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-paypal-support.net/login,2,1,1
Annual performance evaluation reminder (Ref: 558),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",0,0,0
Security Alert: Unauthorized login attempts detected,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Weekly Project Progress Update (Ref: 176),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, John.",0,0,0
URGENT: Verify your account activity immediately!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-paypal-support.net/login,1,1,1
Quarterly financial report summary (Ref: 636),"Attached is the PDF copy of our Q3 budget allocation analysis. Let me know if you have questions. Thanks, Sarah.",1,0,0
Security Alert: Unauthorized login attempts detected,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-amazon-support.net/login",1,0,1
Lunch reservation details (Ref: 253),"Merged PR #405: updates user session cookies validation handlers. Thanks, Sarah.",1,0,0
"Congratulations! You won a $1,000 reward voucher","To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-chase-support.net/login",1,0,1
Approved: Expense report #3904 (Ref: 472),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Alice.",0,0,0
Invoice Notification: Payment outstanding #83940,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-chase-support.net/login,2,1,1
Feedback on code design patterns (Ref: 398),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Alice.",0,0,0
"Congratulations! You won a $1,000 reward voucher",Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,3,1,1
Quarterly financial report summary (Ref: 859),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",1,0,0
Invoice Notification: Payment outstanding #83940,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,2,1,1
Approved: Expense report #3904 (Ref: 771),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, John.",0,0,0
Update Billing Information: Payment Restrict Alert,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,1,1,1
Release notes for version 2.4.1 (Ref: 188),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, Alice.",1,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 105),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",1,0,0
"Congratulations! You won a $1,000 reward voucher",Your email security credentials expire in 24 hours. Log in here to synchronize your active password. Click here: http://verification-chase-support.net/login,2,1,1
Lunch reservation details (Ref: 374),"Attached are the slides for the client presentation. Please review them before the call. Thanks, John.",1,0,0
System Warning: Update password immediately!,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 942),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",0,0,0
Security Alert: Unauthorized login attempts detected,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-netflix-support.net/login,1,0,1
New repository pull request merged (Ref: 268),"Attached are the slides for the client presentation. Please review them before the call. Thanks, Sarah.",1,0,0
Invoice Notification: Payment outstanding #83940,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,2,1,1
Quarterly financial report summary (Ref: 619),"Attached are the slides for the client presentation. Please review them before the call. Thanks, David.",0,0,0
Netflix: Your subscription has been suspended!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,1,1,1
New repository pull request merged (Ref: 878),"Merged PR #405: updates user session cookies validation handlers. Thanks, John.",0,0,0
